X1,X2,X3,X4,X5,X6,X7
54.08,13.28,25.25,3.1,0.8,4.29,2.98
51.9,14.27,24.92,3.85,1.06,5.06,3.02
50.33,13.96,29.25,3.42,0.96,3.04,3.31
49.69,13.63,29.59,3.41,0.98,3.68,3.36
51.12,14.02,27.37,3.71,1.11,3.78,3.18
49.77,13.24,28.91,3.59,1.06,4.49,3.31
54.96,14.26,22.99,3.19,0.9,4.6,2.82
55.11,14.87,21.9,3.29,0.86,4.83,2.76
54.12,14.06,24.95,3.14,0.82,3.73,2.96
49.34,13.79,29.57,3.52,0.95,3.78,3.36
50.65,13.14,28.79,3.73,1.09,3.69,3.26
52.46,14.18,24.6,3.57,1.12,5.19,2.99
49.96,13.4,28.84,3.48,0.98,4.32,3.3
49.57,13.17,29.39,3.59,1.06,4.28,3.35
49.34,13.06,29.46,3.51,1.04,4.63,3.36
50.87,13.85,27.64,3.71,1.1,3.93,3.2
51.03,13.9,27.56,3.73,1.08,3.78,3.19
53.98,14.05,24.73,3.32,0.92,3.92,2.94
52.23,13.64,27.04,3.57,0.98,3.52,3.12
51.74,13.95,27.75,3.6,1.04,2.96,3.17
51.52,13.72,28.28,3.62,1.05,2.86,3.21
51.86,13.13,28.82,2.94,0.8,3.25,3.25
51.75,13.18,28.38,3.04,0.86,3.65,3.23
48.4,26.05,21.4,3.44,0.5,0.71,3
48.69,28.48,17.37,3.53,0.43,1.93,2.78
48.88,25.23,20.89,3.22,0.47,1.78,2.96
48.97,25.63,19.28,3.48,0.55,2.64,2.87
48.84,23.98,23.37,3,0.52,0.81,3.09
49.73,25.65,19.98,2.51,0.52,2.13,2.91
50.18,28.3,15.79,3.47,0.45,2.26,2.64
48.15,27.98,18.69,3.58,0.48,1.7,2.87
49.72,27.31,16.89,3.08,0.25,3,2.73
51.59,26.24,16.41,3.61,0.6,2.15,2.61
52.26,26.31,14.77,3.51,0.53,3.15,2.51
49.35,25.23,20.03,3.02,0.44,2.37,2.91
47.91,26.03,21.54,3.71,0.6,0.81,3.01
47.83,25.82,20.79,3.33,0.54,2.23,2.99
47.9,25.55,21.1,3.04,0.43,2.41,3.02
49.1,24.53,21.08,2.84,0.34,2.45,2.98
50.04,24.13,19.75,3.21,0.52,2.87,2.86
52.19,26,16.64,4.17,0.61,1,2.58
47.11,26.17,21.29,3.36,0.48,2.07,3.05
48.48,26.76,19.99,3.64,0.46,1.13,2.91
52.22,26.25,16.45,3.92,0.38,1.16,2.58
49.57,26.91,18,2.21,0.41,3.31,2.83
51.71,24.98,17.2,3.01,0.34,3.1,2.67
49.27,27.42,17.42,3.05,0.33,2.84,2.78
47.25,23.95,24.24,3.47,0.57,1.09,3.18
50.98,26.34,16.47,3.2,0.43,3.01,2.66
49.57,25.46,20.79,3.04,0.37,1.14,2.94
46.64,21.38,24.96,4.6,0.77,2.42,3.2
45.93,21.6,25.87,4.51,0.73,2.09,3.28
47.6,22.07,21.13,4.07,0.72,5.13,2.99
47.61,22.44,19.61,4.06,0.6,6.28,2.91
46.91,21.79,21.17,4.06,0.76,6.07,3.02
46.88,21.71,23.6,4.59,0.75,3.22,3.12
47.49,21.75,20.83,4.01,0.67,5.92,2.98
48.03,21.96,20.88,4.02,0.7,5.11,2.96
49.16,27.99,17.49,3.29,0.39,2.07,2.78
47.17,22.29,21.3,4.08,0.74,5.16,3.02
47.29,21.48,21.69,4.03,0.67,5.51,3.03
47.53,21.11,21.54,4.02,0.7,5.8,3.02
47.86,22.25,19.53,4.04,0.68,6.32,2.9
